Turn 1, Prize = 1x Hammer
Turn 2, Prize = 35x Gem
Turn 3, Prize = 30 Min. Unlimited Lives
Turn 4, Prize = 3x Brush
Turn 5, Prize = 1x Hammer
Turn 6, Prize = 1x Hammer
Turn 7, Prize = 1x Hammer
Turn 8, Prize = 75x Gem
Turn 9, Prize = 1x Brush
Turn 10, Prize = 75x Gem
Turn 11, Prize = 30 Min. Unlimited Lives
Turn 12, Prize = 1x Hammer
Turn 13, Prize = 30 Min. Unlimited Lives
Turn 14, Prize = 3x Brush
Turn 15, Prize = 1x Hammer
Turn 16, Prize = 35x Gem
Turn 17, Prize = 1x Brush
Turn 18, Prize = 3x Brush
Turn 19, Prize = 35x Gem
Turn 20, Prize = 1x Brush
Turn 21, Prize = 3x Brush
Turn 22, Prize = 1x Brush
Turn 23, Prize = 1x Brush
Turn 24, Prize = 1x Hammer
Turn 25, Prize = 35x Gem
Turn 26, Prize = 1x Hammer
Turn 27, Prize = 3x Hammer
Turn 28, Prize = 3x Brush
Turn 29, Prize = 1x Hammer
Turn 30, Prize = 30 Min. Unlimited Lives
Turn 31, Prize = 1x Hammer
Turn 32, Prize = 1x Brush
Turn 33, Prize = 1x Brush
Turn 34, Prize = 3x Brush
Turn 35, Prize = 1x Hammer
Turn 36, Prize = 75x Gem
Turn 37, Prize = 30 Min. Unlimited Lives
Turn 38, Prize = 1x Brush
Turn 39, Prize = 1x Brush
Turn 40, Prize = 3x Brush
Turn 41, Prize = 1x Hammer
Turn 42, Prize = 30 Min. Unlimited Lives
Turn 43, Prize = 75x Gem
Turn 44, Prize = 30 Min. Unlimited Lives
Turn 45, Prize = 1x Brush
Turn 46, Prize = 35x Gem
Turn 47, Prize = 30 Min. Unlimited Lives
Turn 48, Prize = 1x Hammer
Turn 49, Prize = 1x Hammer
Turn 50, Prize = 30 Min. Unlimited Lives
Turn 51, Prize = 1x Hammer
Turn 52, Prize = 3x Brush
Turn 53, Prize = 35x Gem
Turn 54, Prize = 3x Brush
Turn 55, Prize = 35x Gem
Turn 56, Prize = 1x Hammer
Turn 57, Prize = 30 Min. Unlimited Lives
Turn 58, Prize = 1x Brush
Turn 59, Prize = 3x Brush
Turn 60, Prize = 1x Brush
Turn 61, Prize = 35x Gem
Turn 62, Prize = 3x Brush
Turn 63, Prize = 1x Hammer
Turn 64, Prize = 3x Brush
Turn 65, Prize = 3x Hammer
Turn 66, Prize = 3x Hammer
Turn 67, Prize = 30 Min. Unlimited Lives
Turn 68, Prize = 1x Hammer
Turn 69, Prize = 1x Hammer
Turn 70, Prize = 30 Min. Unlimited Lives
Turn 71, Prize = 30 Min. Unlimited Lives
Turn 72, Prize = 75x Gem
Turn 73, Prize = 1x Brush
Turn 74, Prize = 1x Hammer
Turn 75, Prize = 35x Gem
Turn 76, Prize = 30 Min. Unlimited Lives
Turn 77, Prize = 1x Hammer
Turn 78, Prize = 1x Brush
Turn 79, Prize = 1x Hammer
Turn 80, Prize = 30 Min. Unlimited Lives
Turn 81, Prize = 1x Brush
Turn 82, Prize = 1x Brush
Turn 83, Prize = 3x Brush
Turn 84, Prize = 30 Min. Unlimited Lives
Turn 85, Prize = 35x Gem
Turn 86, Prize = 3x Brush
Turn 87, Prize = 1x Hammer
Turn 88, Prize = 35x Gem
Turn 89, Prize = 1x Brush
Turn 90, Prize = 1x Hammer
Turn 91, Prize = 75x Gem
Turn 92, Prize = 1x Hammer
Turn 93, Prize = 30 Min. Unlimited Lives
Turn 94, Prize = 1x Hammer
Turn 95, Prize = 35x Gem
Turn 96, Prize = 1x Brush
Turn 97, Prize = 1x Hammer
Turn 98, Prize = 1x Hammer
Turn 99, Prize = 1x Hammer
Turn 100, Prize = 30 Min. Unlimited Lives
Turn 101, Prize = 1x Hammer
Turn 102, Prize = 1x Brush
Turn 103, Prize = 35x Gem
Turn 104, Prize = 1x Brush
Turn 105, Prize = 1x Hammer
Turn 106, Prize = 1x Brush
Turn 107, Prize = 1x Hammer
Turn 108, Prize = 1x Brush
Turn 109, Prize = 3x Hammer
Turn 110, Prize = 1x Brush
Turn 111, Prize = 1x Brush
Turn 112, Prize = 3x Hammer
Turn 113, Prize = 3x Hammer
Turn 114, Prize = 1x Brush
Turn 115, Prize = 35x Gem
Turn 116, Prize = 30 Min. Unlimited Lives
Turn 117, Prize = 3x Brush
Turn 118, Prize = 30 Min. Unlimited Lives
Turn 119, Prize = 35x Gem
Turn 120, Prize = 750x Coin
Turn 121, Prize = 30 Min. Unlimited Lives
Turn 122, Prize = 35x Gem
Turn 123, Prize = 750x Coin
Turn 124, Prize = 1x Brush
Turn 125, Prize = 35x Gem
Turn 126, Prize = 35x Gem
Turn 127, Prize = 1x Hammer
Turn 128, Prize = 3x Brush
Turn 129, Prize = 30 Min. Unlimited Lives
Turn 130, Prize = 30 Min. Unlimited Lives
Turn 131, Prize = 3x Brush
Turn 132, Prize = 30 Min. Unlimited Lives
Turn 133, Prize = 3x Hammer
Turn 134, Prize = 3x Brush
Turn 135, Prize = 1x Brush
Turn 136, Prize = 750x Coin
Turn 137, Prize = 1x Brush
Turn 138, Prize = 1x Brush
Turn 139, Prize = 30 Min. Unlimited Lives
Turn 140, Prize = 30 Min. Unlimited Lives
Turn 141, Prize = 1x Brush
Turn 142, Prize = 1x Brush
Turn 143, Prize = 3x Hammer
Turn 144, Prize = 30 Min. Unlimited Lives
Turn 145, Prize = 75x Gem
Turn 146, Prize = 750x Coin
Turn 147, Prize = 3x Brush
Turn 148, Prize = 30 Min. Unlimited Lives
Turn 149, Prize = 35x Gem
Turn 150, Prize = 35x Gem
Turn 151, Prize = 1x Hammer
Turn 152, Prize = 1x Hammer
Turn 153, Prize = 75x Gem
Turn 154, Prize = 35x Gem
Turn 155, Prize = 750x Coin
Turn 156, Prize = 30 Min. Unlimited Lives
Turn 157, Prize = 3x Brush
Turn 158, Prize = 3x Brush
Turn 159, Prize = 1x Hammer
Turn 160, Prize = 30 Min. Unlimited Lives
Turn 161, Prize = 35x Gem
Turn 162, Prize = 30 Min. Unlimited Lives
Turn 163, Prize = 1x Brush
Turn 164, Prize = 3x Hammer
Turn 165, Prize = 3x Brush
Turn 166, Prize = 35x Gem
Turn 167, Prize = 75x Gem
Turn 168, Prize = 1x Hammer
Turn 169, Prize = 35x Gem
Turn 170, Prize = 3x Hammer
Turn 171, Prize = 30 Min. Unlimited Lives
Turn 172, Prize = 30 Min. Unlimited Lives
Turn 173, Prize = 1x Hammer
Turn 174, Prize = 3x Hammer
Turn 175, Prize = 1x Brush
Turn 176, Prize = 30 Min. Unlimited Lives
Turn 177, Prize = 35x Gem
Turn 178, Prize = 30 Min. Unlimited Lives
Turn 179, Prize = 1x Brush
Turn 180, Prize = 30 Min. Unlimited Lives
Turn 181, Prize = 30 Min. Unlimited Lives
Turn 182, Prize = 30 Min. Unlimited Lives
Turn 183, Prize = 30 Min. Unlimited Lives
Turn 184, Prize = 35x Gem
Turn 185, Prize = 75x Gem
Turn 186, Prize = 3x Brush
Turn 187, Prize = 1x Brush
Turn 188, Prize = 30 Min. Unlimited Lives
Turn 189, Prize = 1x Hammer
Turn 190, Prize = 3x Brush
Turn 191, Prize = 1x Brush
Turn 192, Prize = 3x Hammer
Turn 193, Prize = 3x Brush
Turn 194, Prize = 1x Brush
Turn 195, Prize = 750x Coin
Turn 196, Prize = 750x Coin
Turn 197, Prize = 75x Gem
Turn 198, Prize = 1x Brush
Turn 199, Prize = 30 Min. Unlimited Lives
Turn 200, Prize = 1x Brush
Turn 201, Prize = 3x Hammer
Turn 202, Prize = 75x Gem
Turn 203, Prize = 3x Hammer
Turn 204, Prize = 30 Min. Unlimited Lives
Turn 205, Prize = 750x Coin
Turn 206, Prize = 3x Brush
Turn 207, Prize = 1x Hammer
Turn 208, Prize = 1x Brush
Turn 209, Prize = 30 Min. Unlimited Lives
Turn 210, Prize = 35x Gem
Turn 211, Prize = 1x Hammer
Turn 212, Prize = 1x Brush
Turn 213, Prize = 1x Hammer
Turn 214, Prize = 1x Hammer
Turn 215, Prize = 75x Gem
Turn 216, Prize = 3x Hammer
Turn 217, Prize = 1x Hammer
Turn 218, Prize = 35x Gem
Turn 219, Prize = 3x Brush
Turn 220, Prize = 1x Hammer
Turn 221, Prize = 3x Brush
Turn 222, Prize = 35x Gem
Turn 223, Prize = 3x Brush
Turn 224, Prize = 3x Hammer
Turn 225, Prize = 1x Brush
